4,100,356,76.2,165,114.3,N/A,108,190,0,157.2,6.4,203,11.13,38,4,,4,273,8,1+1/2,,255,260,1+5/8,39,66,57,61.5,41.275,4,116.8,0,0,76.2,157.18,11.13,16.66,1.5,27.03,27.37,N/A,165,1.6,76.2,196.4,201.13,holes,dia,37.5*,23*,See Buttwelding Fittings,As Required
5,125,419,91.9,203,141.3,N/A,130,229,0,185.7,6.4,241,12.7,42,4,,5,323.8,8,1+3/4,,300,310,1+7/8,45,111,95,102,47.625,5,144.4,0,0,92.1,190.5,12.7,19.84,1.5,36.38,37.17,N/A,203,1.6,92.1,235.4,241.7,holes,dia,37.5*,23*,See Buttwelding Fittings,As Required
6,150,483,108,235,168.3,N/A,152,273,0,215.9,6.4,279,12.7,47,4,,6,368.3,8,2,,345,355,2+1/8,52,173,148,157,53.975,6,171.4,0,0,108,228.6,12.7,19.84,1.5,66.02,67.25,N/A,235,1.6,108,279.4,285.7,holes,dia,37.5*,23*,See Buttwelding Fittings,As Required
8,200,552,127,305,219.1,N/A,178,318,0,269.7,6.4,340,14.27,51,5,,8,438.2,12,2,,380,395,2+1/8,52,264,221,241,53.975,8,222.2,0,0,127,279.4,14.27,23.01,1.5,105.5,108.27,N/A,305,1.6,127,324.4,332.27,holes,dia,37.5*,23*,See Buttwelding Fittings,As Required
10,250,673,165.1,375,273,N/A,229,419,0,323.8,6.4,425,17.48,55,6,,10,539.8,12,2+1/2,,490,510,2+5/8,64,490,425,470,66.675,10,277.4,0,0,165.1,342.9,17.48,30.18,2.4,194.74,200.28,N/A,375,1.6,165.1,425.4,436.48,holes,dia,37.5*,23*,See Buttwelding Fittings,As Required
12,300,762,184.2,441,323.8,N/A,254,464,0,381,6.4,495,17.48,60,8,,12,619.3,12,2+3/4,,540,560,2+7/8,72,695,500,575,73.025,12,328.2,0,0,184.2,406.4,17.48,33.32,2.4,269.63,276.71,N/A,441,1.6,184.2,470.4,481.48,holes,dia,37.5*,23*,See Buttwelding Fittings,As Required
14,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,360.2,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,holes,dia,37.5*,23*,See Buttwelding Fittings,As Required
16,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,411.2,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,holes,dia,37.5*,23*,See Buttwelding Fittings,As Required
18,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,462.3,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,holes,dia,37.5*,23*,See Buttwelding Fittings,As Required
20,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,514.4,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,holes,dia,37.5*,23*,See Buttwelding Fittings,As Required
22,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,holes,dia,37.5*,23*,See Buttwelding Fittings,As Required
24,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,616,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,holes,dia,37.5*,23*,See Buttwelding Fittings,As Required
