53,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53
nb,nb,od,thickness,hub-x,hub-a,thd thk,lapped thk,wn thk,SO Bore,rf dia,rf height,rtj rf dia,rtj rf height,ring no,dist betwn flgs,socket depth,nb,pcd,no of bolts,bolt size unc,c bolt length,rf sb length,rtj sb len,hole size,iso sb size,wn kg,so kg,bld kg,hole size for calc,nb,Lapped Bore,hub rad,lapped rad,bld thk,rtj pitch dia,rtj depth,rtj width,rtj root rad,bolts wt rf,bolts wt rtj,long neck id,long neck od,weld flat,lapped tk,0,0,holes,dia,37.5*,23*,See Buttwelding Fittings,As Required
0+1/8,6,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
0+1/4,8,N/A,N/A,N/A,13.7,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0+1/4,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,holes,dia,37.5*,23*,See Buttwelding Fittings,As Required
0+3/8,10,N/A,N/A,N/A,17.1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0+3/8,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,holes,dia,37.5*,23*,See Buttwelding Fittings,As Required
0+1/2,15,95,14.2,38,21.3,22,22,52,22.2,34.9,6.4,51,5.54,11,3,N/A,0+1/2,66.5,4,0+1/2,,75,75,0+5/8,14,1.5,1.3,1.5,15.875,0+1/2,22.9,22.225,3.175,14.3,34.14,5.54,7.14,,0.54,0.54,N/A,38,1.6,14.3,58.4,57.54,holes,dia,37.5*,23*,See Buttwelding Fittings,As Required
0+3/4,20,117,15.7,48,26.7,25,25,57,27.7,42.9,6.4,63.5,6.35,13,4,N/A,0+3/4,82.6,4,0+5/8,,90,90,0+3/4,16,1.8,1.5,1.5,19.05,0+3/4,28.2,27.78125,3.175,15.9,42.88,6.35,8.74,,0.79,0.79,N/A,48,1.6,15.9,63.4,63.35,holes,dia,37.5*,23*,See Buttwelding Fittings,As Required
1,25,124,17.5,54,33.4,27,27,62,34.5,50.8,6.4,70,6.35,16,4,N/A,1,88.9,4,0+5/8,,90,90,0+3/4,16,1.8,1.8,1.8,19.05,1,34.9,34.13125,3.175,17.5,50.8,6.35,8.74,,0.79,0.79,N/A,54,1.6,17.5,68.4,68.35,holes,dia,37.5*,23*,See Buttwelding Fittings,As Required
1+1/4,32,133,20.6,64,42.2,29,29,67,43.2,63.5,6.4,79.5,6.35,18,4,N/A,1+1/4,98.6,4,0+5/8,,95,95,0+3/4,16,2.7,2.3,2.3,19.05,1+1/4,43.7,42.8625,4.7625,20.7,60.33,6.35,8.74,,0.82,0.82,N/A,64,1.6,20.7,73.4,73.35,holes,dia,37.5*,23*,See Buttwelding Fittings,As Required
1+1/2,40,155,22.4,70,48.3,32,32,70,49.5,73,6.4,90.5,6.35,20,4,N/A,1+1/2,114.3,4,0+3/4,,110,110,0+7/8,20,3.7,3.2,3.7,22.225,1+1/2,50,49.2125,6.35,22.3,68.27,6.35,8.74,,1.54,1.54,N/A,70,1.6,22.3,76.4,76.35,holes,dia,37.5*,23*,See Buttwelding Fittings,As Required
2,50,165,25.4,84,60.3,37,37,73,61.9,92.1,6.4,108,7.92,23,5,N/A,2,127,8,0+5/8,,110,110,0+3/4,16,5.5,4.1,4.6,19.05,2,62.5,61.9125,7.9375,25.4,82.55,7.92,11.9,,1.8,1.8,N/A,84,1.6,25.4,79.4,80.92,holes,dia,37.5*,23*,See Buttwelding Fittings,As Required
2+1/2,65,190,28.4,100,73,41,41,79,74.6,104.8,6.4,127,7.92,26,5,N/A,2+1/2,149.4,8,0+3/4,,120,120,0+7/8,20,8.2,5.9,6.8,22.225,2+1/2,75.4,74.6125,7.9375,28.6,101.6,7.92,11.9,,3.24,3.24,N/A,100,1.6,28.6,85.4,86.92,holes,dia,37.5*,23*,See Buttwelding Fittings,As Required
3,80,210,31.8,117,88.9,46,46,83,90.7,127,6.4,146,7.92,31,5,N/A,3,168.1,8,0+3/4,,125,125,0+7/8,20,10.5,7.3,9.1,22.225,3,91.4,90.4875,10.31875,31.8,123.83,7.92,11.9,,3.32,3.32,N/A,117,1.6,31.8,89.4,90.92,holes,dia,37.5*,23*,See Buttwelding Fittings,As Required
3+1/2,90,229,35.1,133,101.6,49,49,86,103.4,139.7,6.4,159,7.92,34,5,N/A,3+1/2,184.2,8,0+7/8,,140,140,1,24,11.8,9.6,13.2,25.4,3+1/2,104.1,103.1875,10.31875,35,131.78,7.92,11.9,,5.52,5.52,N/A,133,1.6,35,92.4,93.92,holes,dia,37.5*,23*,See Buttwelding Fittings,As Required
4,100,254,35.1,146,114.3,51,51,89,116.8,157.2,6.4,175,7.92,37,6,N/A,4,200.2,8,0+7/8,,140,140,1,24,16,11.8,15,25.4,4,116.8,115.8875,11.1125,35,149.23,7.92,11.91,0.8,5.52,5.52,N/A,146,1.6,35,95.4,96.92,holes,dia,37.5*,23*,See Buttwelding Fittings,As Required
5,125,279,38.1,178,141.3,54,54,102,143.8,185.7,6.4,210,7.92,41,6,N/A,5,235,8,0+7/8,,145,145,1,24,20,14.1,20,25.4,5,144.4,143.66875,11.1125,38.1,180.98,7.92,11.91,0.8,5.64,5.64,N/A,178,1.6,38.1,108.4,109.92,holes,dia,37.5*,23*,See Buttwelding Fittings,As Required
6,150,318,41.1,206,168.3,57,57,103,170.7,215.9,6.4,241,7.92,45,6,N/A,6,269.7,12,0+7/8,,150,150,1,24,26,20,28,25.4,6,171.4,170.65625,12.7,41.3,211.12,7.92,11.91,0.8,8.65,8.65,N/A,206,1.6,41.3,109.4,110.92,holes,dia,37.5*,23*,See Buttwelding Fittings,As Required
8,200,381,47.8,260,219.1,68,68,117,221.5,269.7,6.4,302,7.92,49,6,N/A,8,330.2,12,1,,170,170,1+1/8,27,41,31,46,28.575,8,222.2,221.45625,12.7,47.7,269.88,7.92,11.91,0.8,12.65,12.65,N/A,260,1.6,47.7,123.4,124.92,holes,dia,37.5*,23*,See Buttwelding Fittings,As Required
10,250,444,53.8,321,273,73,102,124,276.2,323.8,6.4,356,7.92,53,6,N/A,10,387.4,16,1+1/8,,190,190,1+1/4,30,57,42,71,31.75,10,277.4,276.225,12.7,54,323.85,7.92,11.91,0.8,23.26,23.26,N/A,321,1.6,54,130.4,131.92,holes,dia,37.5*,23*,See Buttwelding Fittings,As Required
12,300,521,57.2,375,323.8,79,108,137,327,381,6.4,413,7.92,57,6,N/A,12,450.8,16,1+1/4,,205,205,1+3/8,33,80,59,102,34.925,12,328.2,427.0375,12.7,57.2,381,7.92,11.91,0.8,30.35,30.35,N/A,375,1.6,57.2,143.4,144.92,holes,dia,37.5*,23*,See Buttwelding Fittings,As Required
14,350,584,60.5,425,355.6,84,117,149,359.2,412.8,6.4,457,7.92,61,6,N/A,14,514.4,20,1+1/4,,210,210,1+3/8,33,105,82,132,34.925,14,360.2,359.56875,12.7,60.4,419.1,7.92,11.91,0.8,38.51,38.51,N/A,425,1.6,60.4,155.4,156.92,holes,dia,37.5*,23*,See Buttwelding Fittings,As Required
16,400,648,63.5,483,406.4,94,127,152,410.5,469.9,6.4,508,7.92,65,6,N/A,16,571.5,20,1+3/8,,220,220,1+1/2,36,134,107,168,38.1,16,411.2,410.36875,12.7,63.5,469.9,7.92,11.91,0.8,50.38,50.38,N/A,483,1.6,63.5,158.4,159.92,holes,dia,37.5*,23*,See Buttwelding Fittings,As Required
18,450,711,66.5,533,457,98,137,165,461.8,533.4,6.4,575,7.92,69,6,N/A,18,628.6,24,1+3/8,,230,230,1+1/2,36,160,130,207,38.1,18,462.3,461.9625,12.7,66.7,533.4,7.92,11.91,0.8,62.15,62.15,N/A,533,1.6,66.7,171.4,172.92,holes,dia,37.5*,23*,See Buttwelding Fittings,As Required
20,500,775,69.8,587,508,102,146,168,513.1,584.2,6.4,635,9.53,73,6,N/A,20,685.8,24,1+1/2,,240,250,1+3/4,39,194,157,266,41.275,20,514.4,512.7625,12.7,69.9,584.2,9.53,13.49,1.5,78.11,80.13,N/A,587,1.6,69.9,174.4,177.53,holes,dia,37.5*,23*,See Buttwelding Fittings,As Required
22,550,838,73.2,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,22,743,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,22,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,-0.6,0,holes,dia,37.5*,23*,See Buttwelding Fittings,As Required
24,600,914,76.2,702,610,114,159,175,616,692.2,6.4,749,11.13,77,6,N/A,24,812.8,24,1+3/4,,265,280,1+7/8,45,282,232,405,47.625,24,616,615.95,12.7,76.2,692.15,11.13,16.66,1.5,119.85,123.96,N/A,702,1.6,76.2,181.4,186.13,holes,dia,37.5*,23*,See Buttwelding Fittings,As Required
