14,2,3,4,5,6,7,8,9,10,11,12,13,14
NB inch,NB mm,A - F to F,B - Height,C Base to drain,D Base to CL,E Base to Cover,F Bask Removal,Net Basket Removal,Basket Area,vent,drain,kg,Basket removal
0+1/8,6,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
0+1/4,8,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
0+3/8,10,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
0+1/2,15,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
0+3/4,20,8.875,13,1,7.5,213,200,9,241,0+1/4,0+3/4,7.5,Basket removal
1,25,9.125,13.5,1,7.5,225,200,9,241,0+1/4,0+3/4,14.5,Basket removal
1+1/4,32,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1+1/2,40,9.625,16.5,1.5,10,297,275,13,375,0+1/4,0+3/4,21.5,Basket removal
2,50,12.625,19.25,1.5,12.5,362,340,15,488,0+1/4,0+3/4,29.5,Basket removal
2+1/2,65,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
3,80,14.75,22.5,2,13.5,411,375,17,652,0+3/8,0+3/4,49,Basket removal
3+1/2,90,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
4,100,18,28,2,17,508,450,21,1088,0+3/8,1,92,Basket removal
5,125,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
6,150,24.5,39.75,4,24,749,630,30,2151,0+1/2,1+1/2,225,Basket removal
8,200,29,52,4,31,952,800,38,3973,0+1/2,1+1/2,405,Basket removal
10,250,35,59,5,36,1103,940,45,5304,0+1/2,1+1/2,655,Basket removal
12,300,42,62,7,45,1367,1180,55,8295,0+1/2,2,700,Basket removal
