8,2,3,4,5,6,7,8
NB inch,NB mm,F to F,Base to CL,Removal Dist,Drn Size,thd depth,Wt Kg
0+1/8,6,N/A,N/A,N/A,N/A,N/A,N/A
0+1/4,8,N/A,N/A,N/A,N/A,N/A,N/A
0+3/8,10,N/A,N/A,N/A,N/A,N/A,N/A
0+1/2,15,3.125,2,4,15,13,0.55
0+3/4,20,4,2.25,4,20,14,0.7
1,25,4.5,2.875,6,25,26,1
1+1/4,32,5.375,3.25,7,32,19,1.6
1+1/2,40,6.25,3.875,7,40,21,2
2,50,7.625,4.75,8,50,22,4.5
