21,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21
NPS,DN,RF-F/F,RTJ-F/F,BW-F/F,Lever Height,Lever Length,Hand Wheel Spindle Height,Hand Wheel Diameter,Hand Wheel Spindle Length,Hand Wheel Spindle Offset,weight RF/RTJ,weight BW(70%),New weight RF/RTJ,New weight BW,Spare,RTJ Addition,RTJ Gap,Long Pattern,Short Pattern,Section - Full Bore Valve
0+1/8,6,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
0+1/4,8,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,5,3,N/A,N/A,N/A,N/A,N/A,Long Pattern,Short Pattern,Section - Full Bore Valve
0+3/8,10,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,5,3,N/A,N/A,N/A,N/A,N/A,Long Pattern,Short Pattern,Section - Full Bore Valve
0+1/2,15,108,N/A,N/A,90,135,N/A,N/A,N/A,N/A,5,3,N/A,N/A,N/A,N/A,N/A,Long Pattern,Short Pattern,Section - Full Bore Valve
0+3/4,20,117,N/A,N/A,90,135,N/A,N/A,N/A,N/A,7,4,N/A,N/A,N/A,N/A,N/A,Long Pattern,Short Pattern,Section - Full Bore Valve
1,25,127,140,N/A,100,170,N/A,N/A,N/A,N/A,10,7,N/A,N/A,N/A,13,4,Long Pattern,Short Pattern,Section - Full Bore Valve
1+1/4,32,140,153,N/A,105,185,N/A,N/A,N/A,N/A,15,10,N/A,N/A,N/A,13,4,Long Pattern,Short Pattern,Section - Full Bore Valve
1+1/2,40,165,178,190,110,200,N/A,N/A,N/A,N/A,15,10,N/A,N/A,N/A,13,4,Long Pattern,Short Pattern,Section - Full Bore Valve
2,50,178,191,216,222,600,165,635,330,76,17,11,N/A,N/A,N/A,13,4,Long Pattern,Short Pattern,Section - Full Bore Valve
2+1/2,65,190,203,241,165,600,N/A,N/A,N/A,N/A,19,13,N/A,N/A,N/A,13,4,Long Pattern,Short Pattern,Section - Full Bore Valve
3,80,203,216,282,251,610,184,635,330,76,32,22,N/A,N/A,N/A,13,4,Long Pattern,Short Pattern,Section - Full Bore Valve
3+1/2,90,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
4,100,229,242,305,275,915,196,635,330,76,55,38,N/A,N/A,N/A,13,4,Long Pattern,Short Pattern,Section - Full Bore Valve
5,125,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,13,4,Long Pattern,Short Pattern,Section - Full Bore Valve
6,150,394,407,457,330,915,241,635,330,76,227,158,N/A,N/A,N/A,13,4,Long Pattern,Short Pattern,Section - Full Bore Valve
8,200,457,470,521,320,915,285,635,330,76,321,224,N/A,N/A,N/A,13,4,Long Pattern,Short Pattern,Section - Full Bore Valve
10,250,533,546,559,390,1400,330,635,330,102,519,363,N/A,N/A,N/A,13,4,Long Pattern,Short Pattern,Section - Full Bore Valve
12,300,610,623,635,490,1500,412,635,393,133,781,546,N/A,N/A,N/A,13,4,Long Pattern,Short Pattern,Section - Full Bore Valve
14,350,686,699,762,515,1500,438,635,393,133,1020,714,N/A,N/A,N/A,13,3,Long Pattern,Short Pattern,Section - Full Bore Valve
16,400,762,775,838,555,1500,470,635,393,133,1401,980,N/A,N/A,N/A,13,3,Long Pattern,Short Pattern,Section - Full Bore Valve
18,450,864,877,914,600,1500,540,635,400,222,2073,1451,N/A,N/A,N/A,13,3,Long Pattern,Short Pattern,Section - Full Bore Valve
20,500,914,927,991,650,1500,578,635,400,222,2280,1596,N/A,N/A,N/A,13,3,Long Pattern,Short Pattern,Section - Full Bore Valve
22,550,N/A,N/A,1092,700,1500,N/A,N/A,N/A,N/A,2738,1916,N/A,N/A,N/A,13,3,Long Pattern,Short Pattern,Section - Full Bore Valve
24,600,1067,1080,1143,750,1500,647,635,400,222,4074,2851,N/A,N/A,N/A,13,3,Long Pattern,Short Pattern,Section - Full Bore Valve
26,650,N/A,N/A,1245,800,1500,700,635,400,400,5541,3878,N/A,N/A,N/A,N/A,N/A,Long Pattern,Short Pattern,Section - Full Bore Valve
28,700,N/A,N/A,1346,850,1500,750,635,400,400,6500,4550,N/A,N/A,N/A,N/A,N/A,Long Pattern,Short Pattern,Section - Full Bore Valve
30,750,N/A,N/A,1397,900,1500,800,635,400,400,7599,5319,N/A,N/A,N/A,N/A,N/A,Long Pattern,Short Pattern,Section - Full Bore Valve
32,800,N/A,N/A,1524,950,1500,850,635,400,400,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Long Pattern,Short Pattern,Section - Full Bore Valve
34,850,N/A,N/A,1626,1000,1500,900,635,400,400,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Long Pattern,Short Pattern,Section - Full Bore Valve
36,900,N/A,N/A,1727,1050,1500,950,635,400,400,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Long Pattern,Short Pattern,Section - Full Bore Valve
